,label
9217,0
1675,1
7613,0
1833,1
6693,0
3152,0
11203,0
4563,0
283,1
1013,1
5755,0
1388,1
274,1
5030,0
9078,0
4900,0
484,1
3524,0
8810,0
3247,0
7042,0
162,1
8437,0
4447,0
8079,0
767,1
1796,1
5844,0
7178,0
7808,0
8269,0
5879,0
1034,1
6611,0
473,1
6207,0
2664,0
10017,0
8597,0
11396,0
1457,1
2265,1
1525,1
1837,1
8774,0
4437,0
9685,0
3086,0
2126,1
4965,0
11337,0
6258,0
3232,0
1364,1
8000,0
1691,1
1336,1
8234,0
3650,0
9301,0
5865,0
4008,0
5786,0
10350,0
2423,0
9375,0
8487,0
8099,0
2161,1
2909,0
11333,0
7066,0
11216,0
3716,0
7029,0
6621,0
2178,1
182,1
5943,0
4631,0
3928,0
3993,0
20,1
9739,0
10299,0
7512,0
4235,0
11454,0
6496,0
2735,0
5575,0
11395,0
8309,0
9921,0
10139,0
8375,0
2104,1
5283,0
5296,0
7536,0
3705,0
2856,0
621,1
2915,0
10087,0
6158,0
9816,0
5031,0
8485,0
8749,0
4578,0
4507,0
6419,0
4585,0
9493,0
6616,0
10660,0
11194,0
5939,0
9602,0
5560,0
4411,0
5344,0
11103,0
6304,0
9038,0
10815,0
11047,0
7675,0
8098,0
8793,0
7091,0
8439,0
8325,0
10519,0
9005,0
2034,1
2577,0
4837,0
6316,0
3747,0
6590,0
10723,0
10031,0
9206,0
808,1
8165,0
844,1
1303,1
733,1
8257,0
9980,0
5140,0
11476,0
1150,1
5518,0
8660,0
7705,0
8320,0
5911,0
7944,0
543,1
9950,0
1646,1
4628,0
8346,0
464,1
11184,0
7411,0
9256,0
1066,1
10117,0
6984,0
1502,1
10530,0
7746,0
7999,0
8312,0
4975,0
7457,0
685,1
11031,0
6123,0
3923,0
5211,0
971,1
7245,0
10144,0
3735,0
4025,0
525,1
9965,0
5961,0
7348,0
9979,0
4799,0
1259,1
9202,0
4476,0
7646,0
7568,0
6220,0
4299,0
4725,0
10629,0
7483,0
311,1
4548,0
11423,0
10685,0
5439,0
9177,0
842,1
10526,0
1939,1
3803,0
8611,0
2284,1
3826,0
4827,0
3954,0
3277,0
9241,0
1589,1
6134,0
3629,0
326,1
7829,0
463,1
1722,1
5722,0
8305,0
6981,0
6104,0
10746,0
9628,0
7249,0
5967,0
4064,0
2436,0
4463,0
8110,0
3444,0
10907,0
4171,0
1141,1
845,1
9732,0
10754,0
11372,0
11415,0
914,1
151,1
7215,0
6208,0
614,1
2291,1
2095,1
7928,0
10735,0
475,1
10497,0
10416,0
212,1
7286,0
8468,0
6045,0
9261,0
4436,0
6028,0
3209,0
8960,0
1414,1
6150,0
10399,0
9306,0
796,1
725,1
4297,0
1019,1
10292,0
3151,0
6574,0
4622,0
6121,0
4060,0
172,1
6796,0
6877,0
1812,1
8458,0
8853,0
5923,0
11278,0
8666,0
8376,0
3100,0
10156,0
1490,1
22,1
9648,0
1530,1
11339,0
896,1
8580,0
8673,0
9017,0
2949,0
7995,0
4197,0
7884,0
3763,0
7948,0
1168,1
8955,0
4126,0
3545,0
8528,0
6931,0
11023,0
8480,0
7839,0
7968,0
11335,0
6069,0
7680,0
10561,0
2364,0
11301,0
6226,0
3069,0
9850,0
8515,0
989,1
10225,0
6154,0
8210,0
1992,1
1633,1
3498,0
786,1
10333,0
7069,0
5907,0
3900,0
3424,0
6528,0
5350,0
8167,0
8298,0
10290,0
6648,0
1573,1
6433,0
461,1
9746,0
6669,0
1904,1
10844,0
5566,0
837,1
286,1
6935,0
798,1
642,1
9141,0
152,1
10552,0
10682,0
9582,0
4000,0
214,1
4386,0
5352,0
908,1
3408,0
9681,0
641,1
3682,0
6133,0
4401,0
897,1
6165,0
8807,0
2550,0
4301,0
5540,0
3184,0
1916,1
7090,0
1789,1
8426,0
8874,0
10029,0
5019,0
11066,0
5964,0
6640,0
9288,0
1371,1
9332,0
8438,0
3970,0
2088,1
3261,0
5693,0
4003,0
3065,0
8089,0
6125,0
10448,0
276,1
6511,0
4608,0
6577,0
318,1
6062,0
709,1
3557,0
8478,0
4927,0
1995,1
7158,0
10316,0
2539,0
9572,0
7037,0
2821,0
8828,0
2796,0
794,1
5783,0
1284,1
506,1
9381,0
7790,0
7131,0
7921,0
11075,0
8826,0
6391,0
3297,0
4869,0
6605,0
3581,0
4595,0
2150,1
2398,0
6086,0
186,1
2747,0
2253,1
7745,0
11474,0
6814,0
962,1
5207,0
6210,0
6442,0
1479,1
2111,1
9453,0
7205,0
10421,0
2160,1
3987,0
10279,0
6631,0
4576,0
6343,0
811,1
1940,1
5254,0
7766,0
3034,0
3895,0
2229,1
7733,0
4848,0
3433,0
7049,0
8285,0
3726,0
5318,0
5706,0
6157,0
2381,0
5554,0
9586,0
5724,0
3343,0
6319,0
4937,0
3029,0
2929,0
72,1
5333,0
5235,0
7477,0
3625,0
3989,0
2631,0
2196,1
2012,1
11102,0
8512,0
10229,0
9448,0
5988,0
9581,0
8650,0
6968,0
2294,1
9165,0
872,1
5505,0
1142,1
155,1
11183,0
2769,0
8813,0
7225,0
10385,0
8556,0
5688,0
3181,0
829,1
3947,0
2149,1
5788,0
10233,0
8838,0
10758,0
1513,1
7622,0
2505,0
6192,0
4737,0
7558,0
10150,0
9908,0
10474,0
697,1
2620,0
7103,0
3786,0
3822,0
9601,0
6785,0
2784,0
2041,1
1108,1
8814,0
29,1
700,1
1621,1
8228,0
9595,0
7606,0
5105,0
9626,0
7219,0
4007,0
7285,0
6436,0
2462,0
1879,1
3820,0
1977,1
8646,0
2755,0
217,1
3919,0
1625,1
11062,0
5686,0
4250,0
3222,0
7482,0
4315,0
5731,0
1448,1
3950,0
10084,0
8938,0
1953,1
2339,0
8632,0
9964,0
6733,0
8377,0
9088,0
4890,0
514,1
3314,0
1277,1
92,1
11428,0
10765,0
1848,1
7897,0
3812,0
3435,0
3194,0
2191,1
5048,0
6940,0
2602,0
527,1
8514,0
3493,0
8116,0
11067,0
7714,0
4540,0
3728,0
3456,0
9678,0
8704,0
2020,1
3653,0
1771,1
9197,0
7495,0
7293,0
3543,0
6774,0
7668,0
200,1
67,1
1225,1
1701,1
1840,1
5895,0
9861,0
11450,0
4110,0
7376,0
7196,0
9657,0
3040,0
261,1
5480,0
8692,0
9913,0
10011,0
9458,0
3680,0
153,1
5118,0
4324,0
351,1
11212,0
1251,1
7269,0
10609,0
1234,1
11130,0
4873,0
2693,0
6464,0
291,1
5855,0
5920,0
1515,1
3118,0
9499,0
6928,0
3669,0
10255,0
9491,0
11131,0
10177,0
4805,0
1185,1
4617,0
9340,0
2221,1
9426,0
9953,0
9133,0
4520,0
8559,0
5354,0
5813,0
5422,0
3449,0
3740,0
8751,0
5387,0
11293,0
3432,0
1993,1
1056,1
9758,0
10589,0
4954,0
7507,0
4071,0
2025,1
8355,0
1015,1
10779,0
3461,0
8975,0
2717,0
6346,0
9386,0
10870,0
10675,0
4645,0
9451,0
5929,0
295,1
1657,1
4393,0
7449,0
10953,0
3736,0
6847,0
6248,0
1378,1
10023,0
8885,0
10783,0
10243,0
3813,0
7473,0
9920,0
1329,1
5946,0
6918,0
412,1
729,1
4074,0
2000,1
3182,0
3776,0
4627,0
8925,0
2586,0
933,1
5187,0
2738,0
2703,0
8677,0
8522,0
4034,0
5809,0
5292,0
2761,0
5561,0
5150,0
9955,0
4565,0
2159,1
8329,0
3335,0
10996,0
2481,0
1045,1
694,1
5369,0
5756,0
9466,0
51,1
1696,1
4412,0
7492,0
980,1
3847,0
1790,1
7838,0
8409,0
9035,0
7872,0
4337,0
4561,0
1742,1
1182,1
10932,0
4086,0
1333,1
7014,0
9824,0
2931,0
8151,0
10709,0
4381,0
6846,0
3169,0
1122,1
2037,1
3202,0
7024,0
6146,0
54,1
11391,0
9917,0
11438,0
11007,0
1322,1
479,1
3654,0
533,1
5633,0
11432,0
803,1
3626,0
7112,0
6497,0
11009,0
4196,0
5157,0
5054,0
9439,0
8840,0
2605,0
2328,0
861,1
539,1
11362,0
2733,0
10132,0
2488,0
7252,0
7094,0
1926,1
11376,0
4847,0
3942,0
1484,1
5702,0
7476,0
9462,0
11125,0
11238,0
7706,0
1140,1
6193,0
9367,0
963,1
1147,1
9162,0
9765,0
7274,0
9522,0
6503,0
7818,0
7620,0
1693,1
4479,0
6392,0
1836,1
2165,1
687,1
3633,0
3027,0
6665,0
8654,0
2306,0
6908,0
9036,0
9826,0
9322,0
5845,0
6861,0
5392,0
7591,0
8163,0
783,1
7081,0
7689,0
9745,0
6342,0
1737,1
409,1
502,1
4942,0
6550,0
10240,0
2065,1
1503,1
3473,0
8984,0
11451,0
9102,0
9741,0
1442,1
6578,0
7756,0
4407,0
8134,0
891,1
10198,0
7503,0
4045,0
9186,0
2026,1
3497,0
5712,0
6998,0
1526,1
2793,0
5122,0
7972,0
9212,0
1700,1
9016,0
3617,0
3564,0
3891,0
9318,0
8252,0
8965,0
6073,0
4460,0
9266,0
5601,0
4380,0
5463,0
10732,0
9897,0
7153,0
2262,1
4894,0
5847,0
1114,1
4365,0
7431,0
4443,0
10964,0
4747,0
1433,1
3798,0
9101,0
4125,0
4696,0
9538,0
7028,0
2636,0
10321,0
3332,0
9868,0
6917,0
10920,0
7198,0
1626,1
4359,0
2077,1
8413,0
2285,1
7005,0
7754,0
9914,0
10006,0
4539,0
7989,0
7767,0
8222,0
5468,0
6705,0
9026,0
3944,0
8693,0
10703,0
5326,0
4298,0
8431,0
8801,0
9065,0
8862,0
6920,0
8065,0
4549,0
7479,0
10836,0
6481,0
10295,0
9573,0
4306,0
9116,0
7840,0
8224,0
5355,0
10579,0
2614,0
8249,0
2345,0
8554,0
6314,0
1153,1
4813,0
5472,0
1800,1
6,1
11460,0
5003,0
5677,0
7273,0
3063,0
11117,0
6554,0
1161,1
4233,0
9146,0
6260,0
8898,0
11420,0
3054,0
7511,0
9138,0
3883,0
5890,0
1438,1
7405,0
10706,0
1413,1
8358,0
9357,0
4156,0
10767,0
6969,0
4404,0
2108,1
8958,0
5825,0
1290,1
1605,1
9490,0
8633,0
1081,1
4310,0
6491,0
70,1
10016,0
6500,0
11358,0
953,1
8307,0
9240,0
6483,0
11400,0
11132,0
2139,1
3614,0
5582,0
2913,0
11313,0
9219,0
4709,0
5557,0
7220,0
2615,0
11039,0
3262,0
5634,0
1138,1
10076,0
3281,0
3757,0
5013,0
2716,0
8820,0
9937,0
2851,0
10611,0
10510,0
3437,0
11109,0
4552,0
11113,0
3445,0
6327,0
4623,0
7712,0
6510,0
11305,0
6676,0
5653,0
3364,0
2172,1
2368,0
11169,0
6736,0
8179,0
8486,0
2310,0
5867,0
6472,0
8214,0
5571,0
9259,0
11224,0
10924,0
2429,0
2298,1
6256,0
10106,0
8198,0
9041,0
1119,1
3164,0
10412,0
9334,0
6954,0
1793,1
4016,0
9136,0
2642,0
7673,0
2102,1
3874,0
267,1
10562,0
5135,0
7191,0
4244,0
7566,0
3768,0
8405,0
194,1
2377,0
5178,0
10819,0
6887,0
11410,0
978,1
1705,1
11221,0
2348,0
6698,0
3611,0
3628,0
1369,1
10854,0
9319,0
3691,0
10170,0
7149,0
2811,0
10617,0
474,1
5747,0
3619,0
6808,0
5045,0
4131,0
5682,0
9876,0
6473,0
9084,0
7797,0
6416,0
880,1
2829,0
6943,0
2911,0
2926,0
6078,0
3838,0
4664,0
10588,0
4318,0
3791,0
9311,0
8017,0
10344,0
1752,1
6906,0
3336,0
2047,1
9608,0
10490,0
3865,0
7530,0
10162,0
8648,0
5124,0
7231,0
10417,0
1555,1
2067,1
3830,0
2644,0
2011,1
11286,0
10546,0
8916,0
7539,0
7850,0
9954,0
5894,0
917,1
11298,0
6179,0
6197,0
3536,0
8300,0
3173,0
8201,0
3319,0
11114,0
4528,0
2038,1
4598,0
557,1
5941,0
1317,1
7455,0
991,1
8729,0
9342,0
2870,0
1959,1
7467,0
1889,1
10401,0
10839,0
8618,0
4653,0
470,1
7741,0
11494,0
1642,1
8111,0
11148,0
6152,0
1814,1
5426,0
10694,0
6686,0
4408,0
3394,0
10058,0
6671,0
8796,0
418,1
7681,0
8815,0
9568,0
9278,0
984,1
8968,0
5193,0
2823,0
4328,0
9969,0
9747,0
6766,0
6603,0
287,1
723,1
4068,0
7030,0
5975,0
875,1
3651,0
5437,0
8304,0
4183,0
327,1
11158,0
11197,0
9743,0
5977,0
6637,0
1038,1
912,1
5274,0
6645,0
8794,0
5253,0
7914,0
1463,1
7906,0
559,1
4234,0
10131,0
2078,1
4750,0
4101,0
4798,0
3585,0
10047,0
1517,1
6367,0
5099,0
10256,0
8619,0
7181,0
3631,0
8410,0
2372,0
11128,0
4185,0
11269,0
1865,1
10816,0
5794,0
1050,1
11086,0
3403,0
900,1
8746,0
8899,0
4920,0
6301,0
7448,0
11071,0
4291,0
6820,0
2242,1
290,1
7117,0
1048,1
10998,0
6553,0
3126,0
8979,0
9227,0
7290,0
11486,0
149,1
11311,0
2566,0
3566,0
413,1
1647,1
9189,0
2650,0
7603,0
6191,0
6357,0
9287,0
10164,0
1331,1
4912,0
7609,0
3370,0
10897,0
10910,0
4013,0
10822,0
10210,0
3616,0
8831,0
2907,0
5643,0
10715,0
227,1
3112,0
3837,0
7139,0
2682,0
7903,0
7351,0
2795,0
11422,0
1721,1
191,1
8415,0
4626,0
10308,0
9039,0
7165,0
4387,0
5068,0
5589,0
7187,0
8963,0
2655,0
6368,0
8924,0
10064,0
7516,0
10813,0
3195,0
4582,0
6961,0
6866,0
9719,0
11186,0
7975,0
10303,0
10564,0
3804,0
2039,1
4760,0
2635,0
10717,0
4846,0
5768,0
6619,0
9374,0
9343,0
3208,0
840,1
2789,0
6860,0
3413,0
4763,0
2843,0
3790,0
1922,1
34,1
10886,0
2484,0
7113,0
1431,1
3879,0
3517,0
8271,0
1481,1
1216,1
11498,0
1246,1
6765,0
3098,0
345,1
6643,0
8731,0
9363,0
8384,0
10042,0
8876,0
7169,0
6065,0
8972,0
6812,0
8258,0
7474,0
826,1
5545,0
5226,0
7466,0
10763,0
1960,1
4220,0
9591,0
11094,0
7570,0
8779,0
11149,0
589,1
3013,0
2815,0
3829,0
4762,0
2399,0
6633,0
10484,0
11475,0
4521,0
7050,0
607,1
7807,0
9848,0
2056,1
10778,0
7690,0
9748,0
3143,0
4673,0
10221,0
3171,0
1735,1
8139,0
1230,1
2401,0
10867,0
11020,0
3365,0
3572,0
8946,0
9796,0
3136,0
8388,0
5175,0
9429,0
2645,0
9772,0
6126,0
1120,1
1636,1
1668,1
8865,0
3022,0
10898,0
8407,0
1891,1
4249,0
9014,0
11088,0
3809,0
9377,0
4117,0
10495,0
5805,0
10392,0
9551,0
8681,0
11266,0
10455,0
6546,0
346,1
10741,0
9761,0
7729,0
2232,1
6025,0
9285,0
690,1
7238,0
6975,0
2653,0
5772,0
500,1
5824,0
7019,0
5022,0
4172,0
751,1
7388,0
5798,0
1952,1
1008,1
8716,0
3756,0
4568,0
5838,0
11368,0
4157,0
9941,0
2303,0
2460,0
710,1
8135,0
74,1
5853,0
4535,0
2311,0
1760,1
10208,0
5606,0
8816,0
1129,1
10118,0
10069,0
11344,0
3610,0
10105,0
9785,0
7404,0
2333,0
3442,0
9885,0
6798,0
6268,0
11366,0
8878,0
1318,1
3321,0
2407,0
9716,0
4908,0
1187,1
2194,1
3476,0
4302,0
7074,0
3615,0
11233,0
8780,0
4481,0
5475,0
7183,0
7287,0
10025,0
2259,1
240,1
8380,0
9246,0
698,1
7783,0
142,1
4588,0
8649,0
2115,1
10663,0
8464,0
8905,0
7525,0
3287,0
5087,0
2924,0
6020,0
6893,0
3189,0
7291,0
899,1
10756,0
7216,0
252,1
6871,0
1839,1
718,1
6414,0
426,1
10679,0
2355,0
8839,0
2122,1
911,1
11444,0
4834,0
2728,0
806,1
7281,0
4852,0
5743,0
7330,0
10800,0
8094,0
1843,1
5291,0
8421,0
2491,0
10899,0
731,1
9289,0
5741,0
5448,0
3119,0
3807,0
695,1
10625,0
862,1
1078,1
8160,0
5216,0
2314,0
4695,0
8912,0
9255,0
6298,0
1875,1
11371,0
3700,0
9907,0
7679,0
1202,1
820,1
6294,0
11002,0
8859,0
1504,1
2393,0
2884,0
9295,0
113,1
8231,0
7984,0
4601,0
10190,0
6249,0
5644,0
6635,0
6088,0
10944,0
4955,0
5069,0
5546,0
6458,0
8698,0
2243,1
774,1
7842,0
2063,1
2834,0
3324,0
5510,0
10770,0
3853,0
4532,0
5052,0
2590,0
2455,0
3286,0
5139,0
1531,1
9757,0
9819,0
12,1
1564,1
10348,0
6778,0
3554,0
1982,1
7691,0
7804,0
1867,1
3305,0
4964,0
5453,0
3539,0
7059,0
7836,0
11049,0
959,1
5500,0
10587,0
8242,0
2756,0
2420,0
9417,0
10974,0
88,1
6727,0
1650,1
10070,0
9537,0
11161,0
1983,1
3643,0
4902,0
9512,0
5915,0
8108,0
678,1
9960,0
1160,1
10462,0
8213,0
954,1
9398,0
47,1
10393,0
4222,0
3678,0
7076,0
4275,0
7822,0
3586,0
11222,0
1520,1
8056,0
4764,0
5431,0
4102,0
9555,0
2548,0
10554,0
6161,0
9154,0
9405,0
11323,0
5544,0
8,1
4667,0
7908,0
2565,0
1702,1
198,1
2346,0
517,1
7201,0
5777,0
5552,0
993,1
2334,0
5232,0
4945,0
8540,0
7270,0
2433,0
2542,0
6174,0
3605,0
6376,0
5335,0
2719,0
1390,1
2190,1
4513,0
1518,1
11087,0
6647,0
225,1
688,1
5097,0
4031,0
7358,0
9267,0
6993,0
371,1
4395,0
8850,0
2723,0
4498,0
3217,0
6839,0
3957,0
4035,0
10032,0
7017,0
414,1
3440,0
7435,0
1784,1
5256,0
7559,0
7834,0
7471,0
5461,0
1196,1
69,1
4164,0
4316,0
6639,0
6390,0
364,1
8680,0
7294,0
411,1
4435,0
6381,0
10832,0
5377,0
9597,0
6452,0
3233,0
130,1
302,1
2866,0
7357,0
9001,0
11220,0
6830,0
7554,0
4204,0
235,1
8287,0
2340,0
5204,0
1232,1
4341,0
4282,0
4958,0
5457,0
9263,0
9482,0
7502,0
4319,0
11004,0
5530,0
1370,1
3937,0
8537,0
9817,0
730,1
4651,0
340,1
7378,0
10642,0
5297,0
8236,0
3231,0
6561,0
7323,0
7730,0
6924,0
2657,0
9313,0
910,1
2396,0
2526,0
7711,0
1881,1
3522,0
10878,0
8561,0
7612,0
3251,0
10071,0
1377,1
2938,0
4009,0
1173,1
6674,0
1027,1
1310,1
560,1
2171,1
11200,0
6882,0
8317,0
443,1
9870,0
84,1
6618,0
11430,0
9534,0
10182,0
7085,0
2812,0
9249,0
11382,0
10511,0
5224,0
1974,1
2833,0
4663,0
1209,1
2887,0
6054,0
8690,0
10328,0
9460,0
1975,1
8627,0
8723,0
3909,0
534,1
6283,0
4635,0
5014,0
11487,0
1133,1
1551,1
6938,0
7312,0
10962,0
5458,0
9440,0
10214,0
269,1
661,1
8406,0
10491,0
8259,0
2868,0
9575,0
5991,0
2035,1
10311,0
9814,0
8315,0
1933,1
3338,0
9290,0
10155,0
6284,0
1948,1
8172,0
8560,0
3939,0
205,1
5436,0
2235,1
5007,0
3369,0
6753,0
322,1
9996,0
4273,0
6552,0
7955,0
9117,0
9213,0
2764,0
6254,0
9650,0
1736,1
858,1
4130,0
8191,0
6287,0
1522,1
11399,0
8506,0
11478,0
2385,0
6707,0
11193,0
9919,0
2914,0
3551,0
2318,0
416,1
96,1
8251,0
5417,0
6394,0
6607,0
741,1
10026,0
4957,0
4050,0
11115,0
7672,0
6116,0
5285,0
8791,0
262,1
7298,0
4907,0
9995,0
6162,0
8482,0
7693,0
712,1
1544,1
4501,0
24,1
689,1
3434,0
7889,0
3266,0
9873,0
2493,0
2269,1
260,1
7284,0
3982,0
10893,0
7055,0
2388,0
2329,0
6875,0
1338,1
10592,0
9007,0
10759,0
8735,0
4753,0
8051,0
7362,0
2100,1
9368,0
8381,0
1487,1
9134,0
9799,0
11053,0
10686,0
9677,0
758,1
3357,0
1171,1
1859,1
6740,0
8653,0
1583,1
601,1
1601,1
7230,0
10714,0
9226,0
10573,0
8391,0
8873,0
927,1
7099,0
9662,0
10837,0
3569,0
1692,1
9308,0
5173,0
1772,1
7739,0
9032,0
7523,0
3499,0
7760,0
9347,0
10085,0
10639,0
6541,0
535,1
6355,0
10217,0
3088,0
9511,0
8016,0
429,1
7698,0
2753,0
8811,0
4201,0
8365,0
5424,0
2621,0
4261,0
1694,1
7443,0
6759,0
4913,0
8932,0
6135,0
6685,0
11139,0
10489,0
9930,0
4225,0
1419,1
218,1
7135,0
6022,0
6148,0
231,1
2249,1
2166,1
8403,0
7227,0
3351,0
109,1
1764,1
2444,0
2675,0
6360,0
6673,0
5591,0
5363,0
2332,0
3647,0
745,1
8102,0
11493,0
3259,0
7048,0
8521,0
6627,0
3414,0
10254,0
10250,0
7988,0
5927,0
2990,0
4454,0
11397,0
5917,0
1857,1
4442,0
3907,0
2708,0
8706,0
5191,0
1988,1
2072,1
4649,0
436,1
431,1
11268,0
1,1
10007,0
5109,0
4716,0
5542,0
6084,0
3484,0
8193,0
7489,0
3401,0
5408,0
2883,0
7056,0
1806,1
1632,1
5547,0
3392,0
8090,0
2266,1
7859,0
2245,1
10987,0
3093,0
8076,0
2014,1
9428,0
2428,0
2518,0
7870,0
4994,0
8026,0
5492,0
9858,0
1473,1
9789,0
401,1
2877,0
2374,0
1262,1
8267,0
4824,0
11379,0
5473,0
9968,0
8113,0
1545,1
1688,1
3623,0
7333,0
2537,0
5266,0
8985,0
2568,0
4092,0
4769,0
5432,0
8747,0
8775,0
9042,0
4184,0
1763,1
6853,0
8173,0
10043,0
6750,0
6974,0
4193,0
4198,0
2824,0
6017,0
3121,0
219,1
9244,0
195,1
716,1
10818,0
7847,0
8441,0
8896,0
10422,0
2213,1
7575,0
10659,0
6791,0
7924,0
3542,0
2925,0
2971,0
5081,0
545,1
11101,0
2114,1
3559,0
8154,0
4084,0
56,1
5174,0
6519,0
6805,0
8987,0
608,1
4270,0
4857,0
832,1
8189,0
5757,0
9126,0
3363,0
9233,0
405,1
8734,0
6032,0
9720,0
4956,0
6132,0
1695,1
871,1
9603,0
5919,0
6692,0
2296,1
7645,0
11123,0
3708,0
66,1
8445,0
1006,1
2234,1
10804,0
3825,0
3596,0
3738,0
1330,1
8657,0
5705,0
11074,0
10883,0
7415,0
4012,0
5447,0
241,1
7875,0
6859,0
10376,0
1012,1
10480,0
8440,0
7904,0
6164,0
8564,0
4897,0
939,1
11354,0
2027,1
3490,0
10201,0
6581,0
7688,0
9223,0
8029,0
5364,0
381,1
9204,0
1177,1
8159,0
1391,1
4797,0
223,1
2611,0
5924,0
5758,0
7166,0
8688,0
7224,0
6652,0
10846,0
8072,0
6520,0
2867,0
7308,0
8483,0
7068,0
10586,0
361,1
1778,1
6677,0
546,1
8631,0
10300,0
507,1
5061,0
5849,0
977,1
10086,0
8566,0
9627,0
4143,0
349,1
11375,0
8114,0
5320,0
4717,0
8145,0
9445,0
7101,0
6291,0
1327,1
2459,0
117,1
10729,0
4963,0
1586,1
10127,0
854,1
4537,0
10263,0
1979,1
1245,1
8310,0
2001,1
465,1
5128,0
3914,0
2806,0
7354,0
3491,0
7242,0
7420,0
9872,0
10001,0
5267,0
11291,0
9784,0
4271,0
10257,0
8782,0
8127,0
9889,0
9791,0
7304,0
6659,0
7192,0
11136,0
192,1
7212,0
5765,0
10607,0
10722,0
3904,0
4511,0
5689,0
2215,1
7633,0
348,1
4294,0
7258,0
10627,0
8727,0
873,1
7253,0
8455,0
8351,0
3303,0
4376,0
5188,0
7607,0
6044,0
9074,0
7994,0
4999,0
925,1
2830,0
3109,0
3609,0
10719,0
11380,0
5528,0
9742,0
4257,0
1465,1
5467,0
6502,0
8326,0
8244,0
10794,0
682,1
8516,0
9691,0
5541,0
5295,0
4953,0
10628,0
596,1
2325,0
2951,0
10103,0
8558,0
6706,0
9253,0
6137,0
9292,0
30,1
3552,0
9613,0
315,1
5397,0
619,1
7532,0
4967,0
1392,1
1864,1
2084,1
3815,0
9224,0
1042,1
5212,0
2211,1
10641,0
11015,0
6596,0
5668,0
4924,0
10768,0
5831,0
6063,0
7143,0
4278,0
10943,0
3509,0
7343,0
11471,0
1965,1
531,1
2186,1
11321,0
793,1
8510,0
2690,0
3780,0
4059,0
2210,1
951,1
570,1
4710,0
5832,0
1894,1
9390,0
1511,1
7550,0
8037,0
1809,1
9002,0
114,1
5721,0
4968,0
2180,1
666,1
7593,0
305,1
2698,0
7563,0
5969,0
10134,0
10805,0
4241,0
1541,1
7759,0
8867,0
3783,0
1524,1
4773,0
2553,0
1407,1
9863,0
1828,1
11414,0
6386,0
9214,0
1630,1
17,1
5899,0
4625,0
4711,0
3014,0
3386,0
6749,0
10472,0
965,1
2649,0
11385,0
8893,0
3117,0
1428,1
483,1
5513,0
4616,0
4132,0
8548,0
3785,0
7311,0
11153,0
9855,0
9476,0
6171,0
9033,0
2552,0
1155,1
2695,0
1100,1
3526,0
5141,0
2773,0
9230,0
5300,0
1083,1
5760,0
169,1
6632,0
3162,0
3737,0
8141,0
1302,1
3075,0
8118,0
8655,0
2058,1
2966,0
4472,0
4969,0
1679,1
6209,0
7141,0
8882,0
3729,0
7857,0
8200,0
10107,0
6019,0
2148,1
4703,0
9302,0
7491,0
3870,0
4758,0
1732,1
10275,0
10365,0
11065,0
8082,0
3494,0
10749,0
5133,0
11231,0
1349,1
9886,0
4921,0
856,1
5986,0
2525,0
8795,0
10534,0
9207,0
5523,0
5764,0
10149,0
2726,0
6699,0
918,1
8773,0
452,1
8161,0
9326,0
8708,0
450,1
789,1
9579,0
8430,0
9480,0
4061,0
2696,0
2904,0
9277,0
