,mean frequency,RMS
3209,3.0,27.618362112573767
8960,1.0,68.7449003790463
1414,1.5,482.3625092521508
6150,2.5,38.1750439996472
10399,2.0,87.09799112834779
9306,1.5,35.55527716633637
796,17.0,638.6726989673584
725,5.0,305.6494015054258
4297,0.5,82.67620860168904
1019,8.0,297.3048918710702
10292,3.5,49.19437392407032
3151,1.5,40.8453100792337
6574,2.5,36.37752353789356
4622,1.0,39.10144933175432
6121,2.5,81.4793158184947
4060,2.0,151.01233102330997
172,4.0,376.8123833761637
6796,3.5,40.10360727423719
6877,6.5,36.48990522862111
1812,4.5,494.5705454372131
8458,5.0,24.74855977501519
8853,1.5,29.544267964044227
5923,1.0,152.8009453709302
11278,0.5,53.72801603475835
8666,6.0,64.35473740574582
8376,1.0,62.21523407946401
3100,5.5,70.99038846144067
10156,3.5,46.90695785608463
1490,8.0,329.23947638838814
22,5.5,396.8959289511153
9648,2.5,49.62456214384919
1530,7.0,321.01149722035854
11339,5.5,53.95980582369853
896,5.5,135.268849411436
8580,10.0,113.143757077556
8673,0.5,54.36146562881192
9017,6.0,79.75828045276083
2949,2.5,45.223722299184416
7995,10.5,120.31445412374087
4197,6.0,43.96438544435712
7884,6.0,107.8098414527287
3763,4.0,73.0923504836091
7948,5.5,59.91162518269096
1168,3.5,320.6403474640629
8955,1.5,25.526114462080788
4126,5.5,64.48193863521979
3545,0.5,51.22860643417406
8528,1.5,22.71919059063835
6931,0.5,99.85167466594514
11023,1.0,46.14872780613784
8480,4.0,49.11496001092743
7839,7.5,42.97683446673626
7968,9.5,47.707881866495605
11335,2.5,60.94858873468688
6069,12.5,60.244051184536055
7680,5.0,98.56339667474178
10561,3.0,63.994319663691634
2364,6.5,79.47502617273082
11301,0.5,80.50478865318354
6226,0.5,78.32093866644954
3069,0.5,80.81988317007765
9850,0.5,58.47289202324869
8515,1.5,36.44468866695461
989,6.0,346.55740105581714
10225,3.5,39.780759030748776
6154,2.5,62.7805500209858
8210,3.5,72.07841460217129
1992,5.5,208.5654791235387
1633,1.0,179.80671045597825
3498,1.5,73.90982747683998
786,9.0,618.5788285173069
10333,10.5,37.2214131079141
7069,0.5,36.75442415971851
5907,8.0,57.53630392657535
3900,4.0,78.57784071085976
3424,0.5,55.38478680445561
6528,1.0,58.63817898908739
5350,0.5,90.40108112600204
8167,1.0,70.46934589548493
8298,2.5,35.0440152923791
10290,2.0,41.32138118418538
6648,1.0,94.81497967670376
1573,7.5,526.2071770358729
6433,4.0,40.20842913416912
461,6.5,379.8555897218952
9746,2.5,50.56122526205234
6669,1.5,28.07896405952773
1904,2.0,131.33656371608782
10844,8.0,41.097795665871786
5566,1.5,34.876421061997604
837,9.5,635.8065302021175
286,7.0,368.1635663955544
6935,0.5,42.349728590851086
798,3.5,247.5035284233969
642,3.0,108.70496328580748
9141,0.5,59.6639064953113
152,7.5,462.5003658148891
10552,5.0,59.591771237468265
10682,2.5,28.646339957641185
9582,5.0,69.158985909506
4000,4.5,67.2398778395306
214,1.0,218.2193418383067
4386,1.0,65.31228319342006
5352,5.0,63.45276140316905
908,1.0,198.91544681212852
3408,1.5,41.26332644582838
9681,1.0,85.79639552087838
641,0.5,258.10752626993946
3682,0.5,62.06191386304285
6133,6.0,31.806559489553408
4401,1.5,63.04142053543051
897,6.5,316.04411374986483
6165,4.5,14.27800154520933
8807,11.0,106.06105672633215
2550,5.5,33.62179062286094
4301,0.5,49.8428046540446
5540,10.5,39.50132266377292
3184,0.5,34.05951105005399
1916,4.5,152.06552799595147
7090,8.5,89.80064455068656
1789,1.0,124.81418415551276
8426,5.0,49.65978491980458
8874,6.0,100.25984307195228
10029,3.0,53.62870124901637
5019,6.5,42.279887265548616
11066,4.5,46.498787156561946
5964,5.5,77.47117029297092
6640,0.5,42.44236671284367
9288,0.5,31.97863819460188
1371,6.5,327.5394254060303
9332,1.5,65.88429799774943
8438,2.5,54.978062919165765
3970,2.5,31.03017999162267
2088,4.0,579.8719875736853
3261,2.5,51.95296757494946
5693,2.5,44.57821536531325
4003,2.0,38.99342016810336
3065,2.0,47.62832173455202
8089,4.5,60.5511631546001
6125,0.5,251.74723321934195
10448,4.5,78.66627493723088
276,4.5,135.11111601890866
6511,4.5,38.83655906890439
4608,2.5,60.16805890586799
6577,1.0,58.39109119763048
318,3.5,212.8207218951405
6062,0.5,72.95976925462072
709,4.5,307.8844728673606
3557,6.0,160.1151593629176
8478,6.0,46.100656262275706
4927,5.5,62.5186300358741
1995,3.5,257.7080726007506
7158,5.5,40.635773811768985
10316,4.5,25.01529805376602
2539,3.5,18.20126734083372
9572,8.0,53.62467220179532
7037,3.0,17.72062379862797
2821,10.5,61.22518630024739
8828,3.5,69.96301338698541
2796,1.0,80.94913345448023
794,5.0,504.6393727052765
5783,3.5,54.78903966294262
1284,9.0,594.9706006392248
506,5.5,328.32867339517804
9381,2.5,45.41703996884044
7790,6.0,37.97949307891365
7131,2.0,325.2399377226661
7921,0.5,41.16093011544746
11075,3.5,94.68998810674891
8826,1.0,185.4714366380812
6391,1.0,44.6504216805396
3297,0.5,24.48536712252851
4869,10.5,65.38370819152887
6605,3.0,56.27317231039139
3581,4.0,37.26287005015851
4595,10.0,54.07668708359916
2150,9.5,516.6775440933276
2398,1.5,29.63702946695232
6086,3.5,37.94179856207399
186,5.5,368.6714342946084
2747,1.0,57.604321126977965
2253,5.5,307.9593930909865
7745,1.0,31.158381321283365
11474,1.5,52.07410022326358
6814,1.5,47.08685458809072
962,7.5,321.7351182698665
5207,7.5,48.45172170251022
6210,2.5,52.36670205746205
6442,1.5,25.371670809930905
1479,1.5,116.00735345092352
2111,6.0,249.4319934089
9453,3.5,66.58622669845093
7205,5.0,71.50239356242733
10421,2.0,21.052250844624663
2160,11.5,508.4911253988362
3987,1.5,33.645541471902334
10279,3.0,53.282546721757306
6631,5.5,128.99612965063622
4576,1.5,31.892535005272
6343,5.5,41.377330702858906
811,9.5,625.6154528336226
1940,1.5,137.4573424597382
5254,2.5,57.24470328936556
7766,1.0,55.76280332242094
3034,0.5,90.95450603443872
3895,6.5,49.9456784995584
2229,2.0,165.01661404281768
7733,5.5,30.3447878941961
4848,2.5,35.02311597136597
3433,0.5,75.09075238503074
7049,1.5,39.64360885005615
8285,23.5,46.83937187679293
3726,5.0,39.90595634191092
5318,8.0,66.03264018886796
5706,1.0,105.44612951867296
6157,7.0,36.34596672087565
2381,5.5,45.68624421153757
5554,1.5,112.0074351431357
9586,11.0,97.69061645300816
5724,1.0,33.36625002341438
3343,4.5,48.12638492325441
6319,3.5,69.9539573744313
4937,1.5,41.52704079497479
3029,6.0,73.86222592075566
2929,2.0,70.83047750064057
72,3.0,160.47206666484826
5333,0.5,41.172856368759504
5235,6.0,102.58766496955786
7477,0.5,41.17124347238616
3625,0.5,31.802460350969703
3989,4.0,36.2638039450152
2631,11.5,76.21509831350676
2196,5.5,248.90270222675616
2012,1.5,150.8099066032716
11102,2.5,42.72412754192589
8512,2.0,72.6714768990386
10229,0.5,69.3955206137255
9448,0.5,99.1764698301404
5988,1.5,32.006301259478576
9581,0.5,55.16389819494721
8650,12.5,46.69446484193817
6968,7.5,43.311541746253965
2294,5.5,415.98619937013086
9165,2.5,73.25653567792604
872,14.0,288.86355907542014
5505,7.5,75.10029751938404
1142,6.5,247.85370677263936
155,1.5,242.38773980185127
11183,7.5,48.79101339674398
2769,1.5,54.04766776304968
8813,1.5,65.08556942714914
7225,0.5,58.24149532201032
10385,0.5,54.96194972859633
8556,2.5,58.714409099789975
5688,11.5,93.42239112794374
3181,7.0,52.20410476856681
829,10.0,318.0210038452158
3947,1.5,95.8936738251669
2149,7.5,463.5814625941567
5788,0.5,36.63366471737437
10233,0.5,77.44407949752356
8838,0.5,82.56223978005926
10758,6.5,48.05548449286252
1513,4.0,131.0380356876392
7622,8.5,37.07256397930955
2505,5.0,81.51157713497666
6192,2.5,59.71227398167399
4737,1.5,84.55372563956747
7558,2.5,33.06022558339553
10150,1.0,33.4346377279611
9908,1.0,48.02815946465677
10474,5.5,78.28383229273781
697,3.0,352.8751639711362
2620,2.0,87.96050416504416
7103,2.0,19.46558963112857
3786,8.5,43.32369872360565
3822,1.5,60.413613428597365
9601,0.5,66.61768179202689
6785,0.5,55.85461736732246
2784,1.0,25.15592973398618
2041,9.5,305.4109855869424
1108,6.0,138.00693483481183
8814,0.5,32.227811528825534
29,6.5,299.0535697791555
700,6.0,477.626303444636
1621,6.5,351.82788872010985
8228,7.0,34.05595550661808
9595,0.5,85.34245982638859
7606,3.0,56.71550007906789
5105,6.5,14.036434175922317
9626,1.5,58.511997133867766
7219,0.5,39.16523365618735
4007,12.0,39.05096704748488
7285,12.5,96.13142554109191
6436,1.5,65.25066600474281
2462,8.0,51.837637147154
1879,6.5,217.1162079484308
3820,3.0,77.91927287864986
1977,8.5,421.8838181948764
8646,2.0,55.473723368591365
2755,0.5,23.862101800632527
217,9.0,217.5399691633557
3919,1.5,87.94619770863463
1625,5.5,298.45684328674304
11062,0.5,24.1758692966768
5686,1.5,29.681315145222253
4250,0.5,76.96782378655057
3222,1.0,39.22008837357777
7482,4.5,19.54574462159219
4315,1.5,23.84523463595504
5731,3.0,36.26546679737144
1448,6.0,400.4087035552705
3950,1.5,64.79763420401628
10084,1.5,54.91506225526836
8938,1.5,50.44602332722818
1953,9.0,109.88249227868378
2339,2.5,53.1847045020347
8632,4.0,28.442393122986328
9964,6.0,46.791597678229046
6733,3.0,54.40468837506102
8377,4.5,67.90272295833392
9088,7.0,51.558891919217
4890,1.5,23.219917114004737
514,3.5,460.1310694511062
3314,1.0,86.47500090344029
1277,7.5,118.61904580354604
92,3.0,126.09631541690166
11428,0.5,65.89940768773077
10765,0.5,45.08458305126321
1848,4.0,355.3942834088465
7897,7.5,41.982871786450005
3812,6.0,92.19536513058831
3435,4.0,31.184611276537503
3194,5.5,34.259906756112166
2191,7.5,107.23013911384707
5048,6.5,70.84670676449964
6940,6.0,31.82206081773304
2602,0.5,65.68014795916267
527,8.5,454.1505603269829
8514,2.5,67.13071001086239
3493,4.5,44.94940732367892
8116,1.5,71.97994715869656
11067,2.5,53.03505253014274
7714,3.5,40.68197327095565
4540,5.5,65.24038333108949
3728,1.5,94.33741490820331
3456,9.5,53.95491915276354
9678,0.5,46.43304150871446
8704,1.5,60.974423909486426
2020,1.5,129.75960721296323
3653,2.5,21.10255603223813
1771,9.0,210.9887009619088
9197,1.5,52.51985301709726
7495,2.5,67.03630517068717
7293,1.5,65.23030114524997
3543,5.0,78.00394058054856
6774,1.5,32.93596563076981
7668,0.5,56.94412866189543
200,5.5,344.3180441500906
67,11.0,538.4705622285388
1225,7.5,485.08637580557496
1701,2.5,116.21893065998329
1840,17.5,607.0989718498079
5895,1.5,64.36465329472381
9861,2.5,84.02793782985216
11450,2.0,39.9310196229072
4110,0.5,97.12088502785458
7376,1.5,25.131373569703666
7196,4.5,41.5617128684863
9657,6.5,56.12933237733191
3040,1.5,91.87813823296732
261,3.5,517.6708923940299
5480,1.5,77.18788904254184
8692,0.5,46.27075125686852
9913,1.5,58.51552278028455
10011,2.5,38.18943709285004
9458,4.5,65.49094567070894
3680,0.5,37.96614574402109
153,1.5,211.94084752959373
5118,1.5,43.70695427003008
4324,0.5,53.08441004517004
351,4.0,468.1148269505437
11212,4.0,34.53639667528302
1251,6.5,551.0744286200425
7269,5.0,68.81290800855426
10609,5.0,51.21560869714183
1234,3.5,578.4233145039356
11130,4.0,25.903686543858964
4873,12.5,36.90321351818497
2693,3.0,49.20416450553245
6464,4.5,47.65292508893079
291,8.0,211.26263021599732
5855,0.5,26.993389309352207
5920,2.0,93.43802518665112
1515,18.5,542.6202627176013
3118,0.5,60.22340002155516
9499,5.5,51.02407807073784
6928,0.5,63.48056189323823
3669,1.5,45.97313668736341
10255,0.5,39.84879257306613
9491,8.0,43.0770623508759
11131,0.5,31.046713795504992
10177,1.5,48.86942503370589
4805,4.5,20.159411089333688
1185,10.0,244.62354388459065
4617,6.5,71.5506506292483
9340,2.5,30.69014913463684
2221,7.5,165.3551383457549
9426,2.5,56.28848076122014
9953,8.0,33.57535833762612
9133,1.0,45.04048742867355
4520,8.0,57.51228214613162
8559,5.5,34.87465697635964
5354,0.5,35.22602104402014
5813,5.5,36.88625357941628
5422,2.0,70.86242241242005
3449,2.0,127.436149376732
3740,1.5,38.13737632108756
8751,0.5,90.1316392968848
5387,6.0,46.837073198282255
11293,0.5,53.89906655035874
3432,0.5,61.90318960128388
1993,10.0,412.6146189005775
1056,10.5,309.891858342854
9758,1.0,57.689239376540144
10589,0.5,54.04977722404367
4954,4.5,41.68865370405058
7507,4.0,49.98718585797764
4071,6.0,33.202430139787964
2025,5.5,304.9334143826013
8355,0.5,76.7124074516714
1015,1.5,417.6921029551477
10779,0.5,48.33094630869284
3461,5.0,98.27045846953447
8975,5.0,48.25006071887371
2717,5.0,51.372951791592136
6346,11.5,106.73732451824198
9386,3.0,37.44124303074752
10870,5.5,77.17898485420108
10675,0.5,71.64694117467612
4645,1.5,62.66124122887888
9451,4.0,41.823055468843975
5929,0.5,107.88946075584724
295,9.5,284.24577163329315
1657,6.5,413.2084600359877
4393,11.5,109.8614472763592
7449,10.0,85.51855838427703
10953,6.0,61.47956024667873
3736,0.5,68.43601596564487
6847,4.0,55.94777751254959
6248,2.0,59.64371348762374
1378,9.5,203.64845413381795
10023,8.5,34.68033428237825
8885,1.5,54.69659745758872
10783,0.5,184.59599705547856
